Label
Kuziemko et al. (QJE 2014)
Ambrus and Greiner (AER 2012)
Abeler et al. (AER 2011)
Chen and Chen (AER 2011)
Ifcher and Zarghamee (AER 2011)
Ericson and Fuster (QJE 2011)
Kirchler et al (AER 2012)
Fehr et al. (AER 2013)
Charness and Dufwenberg (AER 2011)
Duffy and Puzzello (AER 2014)
Bartling et al. (AER 2012)
Huck et al. (AER 2011)
de Clippel et al. (AER 2014)
Fudenberg et al. (AER 2012)
Dulleck et al. (AER 2011)
Kogan et al. (AER 2011)
Friedman and Oprea (AER 2012)
Kessler and Roth (AER 2012)
