article_factor,year,published,publication_year_current,working_paper,elasticity,se
1,2003,1,2003,0,-0.404468049,0.124742482
1,2003,1,2003,0,-0.00094387,
2,2006,1,2006,0,-0.282,0.107
2,2006,1,2006,0,-0.155,0.055
2,2006,1,2006,0,-0.256,0.061
2,2006,1,2006,0,-0.285,0.098
2,2006,1,2006,0,-0.217,0.049
2,2006,1,2006,0,-0.18,0.046
2,2006,1,2006,0,-0.303,0.103
2,2006,1,2006,0,-0.141,0.055
2,2006,1,2006,0,-0.263,0.064
2,2006,1,2006,0,-0.299,0.108
2,2006,1,2006,0,-0.23,0.063
2,2006,1,2006,0,-0.17,0.075
2,2006,1,2006,0,-0.248,0.138
2,2006,1,2006,0,-0.196,0.077
2,2006,1,2006,0,-0.268,0.082
2,2006,1,2006,0,-0.321,0.123
2,2006,1,2006,0,-0.316,0.074
2,2006,1,2006,0,-0.235,0.094
2,2006,1,2006,0,-0.294,0.215
2,2006,1,2006,0,-0.268,0.08
2,2006,1,2006,0,-0.441,0.109
2,2006,1,2006,0,-0.17,0.296
2,2006,1,2006,0,-0.283,0.102
2,2006,1,2006,0,-0.354,0.141
2,2006,1,2006,0,-0.419,0.122
2,2006,1,2006,0,-0.153,0.125
2,2006,1,2006,0,-0.376,0.096
2,2006,1,2006,0,-0.443,0.169
2,2006,1,2006,0,-0.426,0.103
2,2006,1,2006,0,-0.172,0.098
3,2007,1,2007,0,-0.021410757,0.017128606
3,2007,1,2007,0,-0.029378531,0.039171375
3,2007,1,2007,0,-0.023802001,0.040073723
3,2007,1,2007,0,0.220663011,0.196592874
4,2012,1,2012,0,-0.295,0.072
4,2012,1,2012,0,-0.347,0.166
4,2012,1,2012,0,-0.079,0.048
4,2012,1,2012,0,-0.042,0.011
4,2012,1,2012,0,-0.761,0.199
4,2012,1,2012,0,-0.734,0.152
4,2012,1,2012,0,-0.239,0.089
4,2012,1,2012,0,-0.201,0.089
4,2012,1,2012,0,-0.155,0.067
4,2012,1,2012,0,-0.145,0.069
5,2000,1,2000,0,-0.021,0.108
5,2000,1,2000,0,-0.116,0.066
5,2000,1,2000,0,0.241,0.115
5,2000,1,2000,0,-0.106,0.077
5,2000,1,2000,0,0.136,0.056
5,2000,1,2000,0,-0.035,0.038
6,2002,1,2002,0,-0.101,0.051
6,2002,1,2002,0,-0.0995,0.045
6,2002,1,2002,0,-0.12,0.04
6,2002,1,2002,0,-0.11,0.037
7,2002,1,2002,0,-0.1,0.054
7,2002,1,2002,0,-0.105,0.054
7,2002,1,2002,0,-0.086,0.148
7,2002,1,2002,0,-0.333,0.258
7,2002,1,2002,0,-0.112,0.094
7,2002,1,2002,0,-0.143,0.067
8,2002,1,2002,0,-1.44,0.73657289
8,2002,1,2002,0,-1.1,0.562659847
8,2002,1,2002,0,-1.28,0.654731458
8,2002,1,2002,0,-1.49,0.762148338
8,2002,1,2002,0,-1.26,0.644501279
8,2002,1,2002,0,-1.01,0.516624041
8,2002,1,2002,0,-1.21,0.618925831
8,2002,1,2002,0,-1.24,0.6342711
8,2002,1,2002,0,-0.58,0.296675192
8,2002,1,2002,0,-0.31,0.158567775
8,2002,1,2002,0,-0.63,0.322250639
