article_factor,article_id,article,authors,published_journal,NOTES__RHS_VARIABLES__ETC_
1,Pereira (2003),The impact of MWs on youth employment in Portugal,"Pereira,S. C.",European Economic Review,"18-19 year olds, 1986-88"
1,Pereira (2003),The impact of MWs on youth employment in Portugal,"Pereira,S. C.",European Economic Review,"18-19 year olds, 1986-89"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Baseline, excluding prime-age skilled employment rate, MW Index"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Baseline, excluding prime-age skilled employment rate, MW Index"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Baseline, excluding prime-age skilled employment rate, MW Index"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Baseline, excluding prime-age skilled employment rate, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Baseline, excluding prime-age skilled employment rate, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Baseline, excluding prime-age skilled employment rate, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Including prime-age skilled employment rate, MW Index"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Including prime-age skilled employment rate, MW Index"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Including prime-age skilled employment rate, MW Index"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Including prime-age skilled employment rate, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Including prime-age skilled employment rate, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Including prime-age skilled employment rate, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Nonenrolled with high school education or less, including prime-age skilled employment rate, MW Index"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Nonenrolled with high school education or less, including prime-age skilled employment rate, MW Index"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Nonenrolled with high school education or less, including prime-age skilled employment rate, MW Index"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Nonenrolled with high school education or less, including prime-age skilled employment rate, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Nonenrolled with high school education or less, including prime-age skilled employment rate, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"Nonenrolled with high school education or less, including prime-age skilled employment rate, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"FT only, Baseline specification, MW Index"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"FT only, Baseline specification, MW Index"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"FT only, Baseline specification, MW Index"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"FT only, Baseline specification, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"FT only, Baseline specification, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"FT only, Baseline specification, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"PT only, Baseline specification, MW Index"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"PT only, Baseline specification, MW Index"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"PT only, Baseline specification, MW Index"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"PT only, Baseline specification, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"PT only, Baseline specification, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997,"Campolieti, Gunderson and Riddell",Industrial Relations,"PT only, Baseline specification, MW & Hourly Wage Separated"
3,Hyslop et al. (2007),Youth MW reform and the labour market in New Zealand,"Hyslop,D.; Stillman,S.",Labour Economics,"Employment rate, 18-19"
3,Hyslop et al. (2007),Youth MW reform and the labour market in New Zealand,"Hyslop,D.; Stillman,S.",Labour Economics,"Employment rate, 16-17"
3,Hyslop et al. (2007),Youth MW reform and the labour market in New Zealand,"Hyslop,D.; Stillman,S.",Labour Economics,"Conditional Hours Worked, 18-19"
3,Hyslop et al. (2007),Youth MW reform and the labour market in New Zealand,"Hyslop,D.; Stillman,S.",Labour Economics,"Conditional Hours Worked, 16-17"
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis",Addison and Ozturk,Industrial and Labor Relations Review,BDM Issues
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis",Addison and Ozturk,Industrial and Labor Relations Review,BDM Issues
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis",Addison and Ozturk,Industrial and Labor Relations Review,BDM Issues
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis",Addison and Ozturk,Industrial and Labor Relations Review,BDM Issues
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis",Addison and Ozturk,Industrial and Labor Relations Review,BDM Issues
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis",Addison and Ozturk,Industrial and Labor Relations Review,BDM Issues
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis",Addison and Ozturk,Industrial and Labor Relations Review,BDM Issues
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis",Addison and Ozturk,Industrial and Labor Relations Review,BDM Issues
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis",Addison and Ozturk,Industrial and Labor Relations Review,BDM Issues
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis",Addison and Ozturk,Industrial and Labor Relations Review,BDM Issues
5,Zavodny (2000),The effect of the minimum wage on employment and hours,Zavodny,Labour Economics,Table 1
5,Zavodny (2000),The effect of the minimum wage on employment and hours,Zavodny,Labour Economics,Table 1
5,Zavodny (2000),The effect of the minimum wage on employment and hours,Zavodny,Labour Economics,Table 1
5,Zavodny (2000),The effect of the minimum wage on employment and hours,Zavodny,Labour Economics,Table 1
5,Zavodny (2000),The effect of the minimum wage on employment and hours,Zavodny,Labour Economics,Table 1
5,Zavodny (2000),The effect of the minimum wage on employment and hours,Zavodny,Labour Economics,Table 1
6,Bazen and Marimoutou (2002),Looking for a Needle in a Haystack?,Bazen and Marimoutou,Oxford Bulletin of Economics and Statistics,54:1-79:4
6,Bazen and Marimoutou (2002),Looking for a Needle in a Haystack?,Bazen and Marimoutou,Oxford Bulletin of Economics and Statistics,54:1-89:4
6,Bazen and Marimoutou (2002),Looking for a Needle in a Haystack?,Bazen and Marimoutou,Oxford Bulletin of Economics and Statistics,54:1-93:4
6,Bazen and Marimoutou (2002),Looking for a Needle in a Haystack?,Bazen and Marimoutou,Oxford Bulletin of Economics and Statistics,54:1-99:2
7,Dodson (2002),The Impact of the Minimum Wage in West Virginia: A Test of the Low-Wage-Area Theory,Dodson,Journal of Labor Research,Col 1
7,Dodson (2002),The Impact of the Minimum Wage in West Virginia: A Test of the Low-Wage-Area Theory,Dodson,Journal of Labor Research,"With demographic, transfer payment variables"
7,Dodson (2002),The Impact of the Minimum Wage in West Virginia: A Test of the Low-Wage-Area Theory,Dodson,Journal of Labor Research,Metro Counties (12)
7,Dodson (2002),The Impact of the Minimum Wage in West Virginia: A Test of the Low-Wage-Area Theory,Dodson,Journal of Labor Research,Urban Counties (4)
7,Dodson (2002),The Impact of the Minimum Wage in West Virginia: A Test of the Low-Wage-Area Theory,Dodson,Journal of Labor Research,Suburban Counties (18)
7,Dodson (2002),The Impact of the Minimum Wage in West Virginia: A Test of the Low-Wage-Area Theory,Dodson,Journal of Labor Research,Rural Counties (21)
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 4: industry controls, Rural uncovered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 4: industry controls, Rural covered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 4: industry controls, Urban uncovered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 4: industry controls, Urban covered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 4: no industry controls, Rural covered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 4: no industry controls, Rural covered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 4: no industry controls, Urban uncovered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 4: no industry controls, Urban covered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 4: industry controls, Rural uncovered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 4: industry controls, Rural covered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 4: industry controls, Urban uncovered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 4: industry controls, Urban covered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 4: no industry controls, Rural covered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 4: no industry controls, Rural covered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 4: no industry controls, Urban uncovered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 4: no industry controls, Urban covered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 3: Urban covered, 1 Qtr"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 3: Urban uncovered, 1 Qtr"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 3: Rural covered, 1 Qtr"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 3: Rural uncovered, 1 Qtr"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 3: Urban covered, 4 Qtrs"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 3: Urban uncovered, 4 Qtrs"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 3: Rural covered, 4 Qtrs"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.",Journal of Labor Research,"Table 3: Rural uncovered, 4 Qtrs"
9,Neumark et al. (2004),Minimum Wage Effects Throughout the Wage Distribution,"Neumark, Schweitzer & Wascher",The Journal of Human Resources,"Weighted average, wts from Table 2, assuming COV=0 across all elements of weighted average"
10,Potter (2006),"Measuring the Employment Impacts of the Living Wage Ordinance in Santa Fe, New Mexico","Potter,N.",Bureau of Business and Economic Research,All Industries
10,Potter (2006),"Measuring the Employment Impacts of the Living Wage Ordinance in Santa Fe, New Mexico","Potter,N.",Bureau of Business and Economic Research,Construction
10,Potter (2006),"Measuring the Employment Impacts of the Living Wage Ordinance in Santa Fe, New Mexico","Potter,N.",Bureau of Business and Economic Research,Retail
10,Potter (2006),"Measuring the Employment Impacts of the Living Wage Ordinance in Santa Fe, New Mexico","Potter,N.",Bureau of Business and Economic Research,Health Care
10,Potter (2006),"Measuring the Employment Impacts of the Living Wage Ordinance in Santa Fe, New Mexico","Potter,N.",Bureau of Business and Economic Research,Accommodation and Food
11,Dube et al. (2007),The economic effects of a citywide MW,"Dube,  Naidu & Reich",Industrial and Labor Relations Review,"All Controls (Table 5, Employment)"
11,Dube et al. (2007),The economic effects of a citywide MW,"Dube,  Naidu & Reich",Industrial and Labor Relations Review,"Alternative Control-Small S.F. (Table 5, Employment)"
11,Dube et al. (2007),The economic effects of a citywide MW,"Dube,  Naidu & Reich",Industrial and Labor Relations Review,"Alternative Control-Midsize S.F. (Table 5, Employment)"
11,Dube et al. (2007),The economic effects of a citywide MW,"Dube,  Naidu & Reich",Industrial and Labor Relations Review,"Alternative Control-Midsize East Bay (Table 5, Employment)"
11,Dube et al. (2007),The economic effects of a citywide MW,"Dube,  Naidu & Reich",Industrial and Labor Relations Review,"All Controls (Inc. Business Closures) (Table 5, Employment)"
11,Dube et al. (2007),The economic effects of a citywide MW,"Dube,  Naidu & Reich",Industrial and Labor Relations Review,"Alternative Control-Small S.F. (Inc. Business Closures) (Table 5, Employment)"
11,Dube et al. (2007),The economic effects of a citywide MW,"Dube,  Naidu & Reich",Industrial and Labor Relations Review,Alternative Control-Midsize S.F. (Inc. Business Closures)
11,Dube et al. (2007),The economic effects of a citywide MW,"Dube,  Naidu & Reich",Industrial and Labor Relations Review,"Alternative Control-Midsize East Bay (Inc. Business Closures) (Table 5, Employment)"
11,Dube et al. (2007),The economic effects of a citywide MW,"Dube,  Naidu & Reich",Industrial and Labor Relations Review,"All Controls (Table 5, FTE Employment)"
11,Dube et al. (2007),The economic effects of a citywide MW,"Dube,  Naidu & Reich",Industrial and Labor Relations Review,"Alternative Control-Small S.F. (Table 5, FTE Employment)"
11,Dube et al. (2007),The economic effects of a citywide MW,"Dube,  Naidu & Reich",Industrial and Labor Relations Review,"Alternative Control-Midsize S.F. (Table 5, FTE Employment)"
11,Dube et al. (2007),The economic effects of a citywide MW,"Dube,  Naidu & Reich",Industrial and Labor Relations Review,"Alternative Control-Midsize East Bay (Table 5, FTE Employment)"
11,Dube et al. (2007),The economic effects of a citywide MW,"Dube,  Naidu & Reich",Industrial and Labor Relations Review,"All Controls (Inc. Business Closures) (Table 5, FTE Employment)"
11,Dube et al. (2007),The economic effects of a citywide MW,"Dube,  Naidu & Reich",Industrial and Labor Relations Review,"Alternative Control-Small S.F. (Inc. Business Closures) (Table 5, FTE Employment)"
