article_factor,article_id,article,authors,published_journal,NOTES__RHS_VARIABLES__ETC_
35,Neumark et al. (2014a),"Revisiting the MW-Employment Debate / Bathwater","Neumark, Salas & Wascher","Industrial and Labor Relations Review","Table 2 East South Central"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 4: industry controls, Urban covered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 4: industry controls, Rural uncovered"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 7 (2,5)"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 4: industry controls, Urban uncovered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 4: no industry controls, Rural covered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 4: no industry controls, Urban covered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 4: no industry controls, Urban uncovered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 4: industry controls, Rural covered"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 4: no industry controls, Rural covered"
28,Sabia et al. (2012),"Are the Effects of Minimum Wage Increases Always Small? New Evidence from a Case Study Of New York State","Sabia, Burkhauser, and Hansen","Industrial and Labor Relations Review","Table 9, row 2, last column"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 7 (3,4)"
28,Sabia et al. (2012),"Are the Effects of Minimum Wage Increases Always Small? New Evidence from a Case Study Of New York State","Sabia, Burkhauser, and Hansen","Industrial and Labor Relations Review","Table 4 Row 2 (DDD)"
28,Sabia et al. (2012),"Are the Effects of Minimum Wage Increases Always Small? New Evidence from a Case Study Of New York State","Sabia, Burkhauser, and Hansen","Industrial and Labor Relations Review","Table 3 (2,6) (DD)"
28,Sabia et al. (2012),"Are the Effects of Minimum Wage Increases Always Small? New Evidence from a Case Study Of New York State","Sabia, Burkhauser, and Hansen","Industrial and Labor Relations Review","Table 4 Row 3 (DDD)"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (1,5)"
28,Sabia et al. (2012),"Are the Effects of Minimum Wage Increases Always Small? New Evidence from a Case Study Of New York State","Sabia, Burkhauser, and Hansen","Industrial and Labor Relations Review","Table 3 (3,6) (DD)"
28,Sabia et al. (2012),"Are the Effects of Minimum Wage Increases Always Small? New Evidence from a Case Study Of New York State","Sabia, Burkhauser, and Hansen","Industrial and Labor Relations Review","Table 3 (2,5) (DD)"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 7 (2,4)"
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis","Addison and Ozturk","Industrial and Labor Relations Review","BDM Issues"
23,Persky and Baiman (2010),"Do State Minimum Wage Laws Reduce Employment? Mixed Messages from Fast Food Outlets in Illinois and Indiana","Persky & Baiman","Journal of Regional Analysis and Policy","Table 2, gFTENS from Position Data: Eq 40"
28,Sabia et al. (2012),"Are the Effects of Minimum Wage Increases Always Small? New Evidence from a Case Study Of New York State","Sabia, Burkhauser, and Hansen","Industrial and Labor Relations Review","Table 3 (3,5) (DD)"
23,Persky and Baiman (2010),"Do State Minimum Wage Laws Reduce Employment? Mixed Messages from Fast Food Outlets in Illinois and Indiana","Persky & Baiman","Journal of Regional Analysis and Policy","Table 3, gFTENS from Position Data: Eq 47"
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis","Addison and Ozturk","Industrial and Labor Relations Review","BDM Issues"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (3,5)"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 3, Spec 3 (State specific time trends)"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (1,3)"
28,Sabia et al. (2012),"Are the Effects of Minimum Wage Increases Always Small? New Evidence from a Case Study Of New York State","Sabia, Burkhauser, and Hansen","Industrial and Labor Relations Review","Table 9, row 1, last column"
