n_os,p_os,r_os,denominator_dof,n_rs1,p_rs1,r_rs1,denominator_dof_r,Approved Replication
54,0.048559953,0.26972803,52,259,0.023590369,0.14064212,257,1
15,3.10E-09,0.9613806,14,14,0.000133822,0.82887018,13,1
72,0.017756648,0.27788922,,243,0.022329835,0.14641742,,1
51,5.41E-05,0.52465248,,65,0.002957182,0.36050302,,1
15,0.00422795,0.67359084,14,36,0.27896959,0.18275274,35,1
57,0.029151877,0.28914034,55,224,0.41577443,-0.054801457,222,1
178,0.002699796,0.2229694,,407,0.000210226,0.18233825,,1
40,1.43E-10,0.81581438,38,22,1.58E-06,0.83205014,20,1
63,8.36E-09,0.63140059,,42,0.025201498,0.34381703,,1
40,3.93E-05,0.60227638,38,49,0.005886077,0.38413259,48,1
86,0.013326087,0.26906911,82,285,0.27270898,-0.06570217,281,1
24,0.023826132,0.45049948,23,95,3.50E-10,0.58620399,94,1
40,0.013330429,0.38813424,38,123,0.45487058,-0.068316437,121,1
32,0.009205938,0.45311347,30,89,0.000648563,0.3546918,87,1
200,0.004401038,0.2005827,198,480,0.010949132,0.11604169,478,1
36,0.023603488,0.37653738,34,132,0.089299656,0.1484793,130,1
20,3.02E-05,0.79315537,18,26,0.71632314,-0.075267836,24,0
343,0.008870634,0.14098142,,1014,0.36604843,0.028420247,,1
56,0.046294663,0.267445,54,278,0.1497599,-0.087273322,276,1
69,0.001742118,0.36764622,68,104,0.26472527,0.10982642,103,0
30,4.41E-05,0.67416495,28,39,6.80E-05,0.5935989,37,1
