Authors,Journal,1st_author
A Roelofs,JEPLMC,Roelofs
"AL Morris, ML Still",JEPLMC,Morris
"B Liefooghe, P Barrouillet, A Vandierendonck, V Camos",JEPLMC,Liefooghe
"BC Storm, EL Bjork, RA Bjork",JEPLMC,Storm
"C Mitchell, S Nash, G Hall",JEPLMC,Mitchell
"CJ Berry, DR Shanks, RN Henson",JEPLMC,Berry
"CP Beaman, I Neath, AM Surprenant",JEPLMC,Beaman
"CS Dodson, J Darragh, A Williams",JEPLMC,Dodson
"CT Weidemann, DE Huber, RM Shiffrin",JEPLMC,Weidemann
"D Ganor-Stern, J Tzelgov",JEPLMC,Ganor-Stern
"D Mirman, JS Magnuson",JEPLMC,Mirman
"JE Marsh, F Vachon, DM Jones",JEPLMC,Marsh
"JI Campbell, ND Robert",JEPLMC,Campbell
"JJ Richler, I Gauthier, MJ Wenger, TJ Palmeri",JEPLMC,Richler
"JR Schmidt, D Besner",JEPLMC,Schmidt
"K Dent, RA Johnston, GW Humphreys",JEPLMC,Dent
K Fiedler,JEPLMC,Fiedler
"K Lemh_fer, T Dijkstra, H Schriefers, RH Baayen, J Grainger, P Zwitserlood",JEPLMC,Lemh_fer
K Oberauer,JEPLMC,Oberauer
"L Sahakyan, PF Delaney, ER Waldum",JEPLMC,Sahakyan
"LH Wurm, SR Seaman",JEPLMC,Wurm
"LS Colzato, MT Bajo, W van den Wildenberg, D Paolieri, S Nieuwenhuis, W La Heij, B Hommel",JEPLMC,Colzato
"LS Colzato, MT Bajo, W van den Wildenberg, D Paolieri, S Nieuwenhuis, W La Heij, B Hommel",JEPLMC,Colzato
"M Bassok, SF Pedigo, AT Oskarsson",JEPLMC,Bassok
"M Couture, D Lafond, S Tremblay",JEPLMC,Couture
"M Reynolds, D Besner",JEPLMC,Reynolds
"MJ Yap, DA Balota, CS Tse, D Besner",JEPLMC,Yap
"N Janssen, W Schirm, BZ Mahon, A Caramazza",JEPLMC,Janssen
"NB Turk-Browne, PJ Isola, BJ Scholl, TA Treat",JEPLMC,Turk-Brown
"P Tabossi, R Fanari, K Wolf",JEPLMC,Tabossi
"P W™hr, R Biebl, U Ansorge",JEPLMC,Wôhr
PA White,JEPLMC,White
S Farrell,JEPLMC,Farrell
"S Frisson, B McElree",JEPLMC,Frisson
"S O'Malley, MG Reynolds, JA Stolz, D Besner",JEPLMC,O'Malley
"S Pacton, P Perruchet",JEPLMC,Pacton
"T Makovski, R Sussman, YV Jiang",JEPLMC,Makovski
"T Meiser, C Sattler, K Weisser",JEPLMC,Meiser
TJ Pleskac,JEPLMC,Pleskac
"W Mou, X Li, TP McNamara",JEPLMC,Mou
A Guinote,JPSP,Guinote
"B De Raad, DP Barelds",JPSP,De Raad
"B Monin, PJ Sawyer, MJ Marquez",JPSP,Monin
"BK Payne, MA Burkley, MB Stokes",JPSP,Payne
"C Anderson, A Shirako",JPSP,Anderson
"CJ Soto, OP John, SD Gosling, J Potter",JPSP,Soto
"CK De Dreu, M Baas, BA Nijstad",JPSP,De Dreu
"CR Cox, J Arndt, T Pyszczynski, J Greenberg, A Abdollahi, S Solomon",JPSP,Cox
"D Albarracên, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart",JPSP,AlbarracÍn
"D Albarracên, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart",JPSP,AlbarracÍn
"DA Stinson, C Logel, MP Zanna, JG Holmes, JJ Cameron, JV Wood, SJ Spencer",JPSP,Stinson
"DB Centerbar, S Schnall, GL Clore, ED Garvin",JPSP,Centerbar
"DM Amodio, PG Devine, E Harmon-Jones",JPSP,Amodio
"DP Schmitt, A Realo, M Voracek, J Allik",JPSP,Schmitt
"E Harmon-Jones, C Harmon-Jones, M Fearn, JD Sigelman, P Johnson",JPSP,Harmon-Jones
"E van Dijk, GA van Kleef, W Steinel, I van Beest",JPSP,van Dijk
"ER Hirt, EE Devers, SM McCrea",JPSP,Hirt
