T.N.O,Tails.O,T_pval_USE..O.,T.pval.O,T.N.R,Tails.R,T.pval.USE.R,T.pval.R,T.r.O,T.r.R,Original.Author.s.Assessment,T.df1.O,T.df1.R,T.df2.O,T.df2.R
24,,0.019394664,0.02,29,,0.434030725,0.435,0.594605285,0.148340453,1,1,1,13,28
24,2,0.001173471,0.005,24,2,0.269558068,0.269,0.611120054,0.229604631,1,1,1,23,23
25,2,0.030449585,0.05,32,,0.228988827,0.229,0.424979665,-0.215243835,9,1,1,24,31
240,,0.00141669,0.001,270,,0.920419089,0.94,0.228739615,-0.006108358,1,1,1,190,268
32,2,0.00689115,,48,2,0.355722382,0.335,0.461300742,0.134811802,9,1,1,31,47
24,2,0.001706566,0.002,32,2,0.02258934,0.023,0.594960462,0.395843475,1,1,1,23,31
100,1,2.22E-17,0.05,15,1,0.313795083,0.314,0.715143728,0.131411981,1,1,1,99,14
48,,0.000200441,0.001,33,,0.539998592,0.54,0.561422534,-0.110614348,1,1,1,37,31
118,,9.61E-37,0.01,,,,,0.302242514,,1,6,,228,
32,2,1.76E-05,0.001,32,2,0.000000221,0.001,0.698586719,0.780725807,1,1,1,28,29
22,,0.000443918,0.001,30,,0.008168915,0.008,0.672084167,0.466443576,1,1,1,21,29
48,,0.048407105,0.05,118,,0.198165248,0.1986,0.178477629,0.08323764,1,2,2,92,232
36,,1.59E-12,0.001,36,,1.58E-12,0.0001,0.52450217,0.524539034,1,2,2,68,68
19,,1.50E-07,0.0001,,,,,0.539560135,,1,2,,36,
95,1,0.028373705,0.028,242,1,0.0000505,0.0001,0.195136354,0.24687812,1,1,1,94,241
42,,0.005585769,0.01,,,,,0.24377044,,,2,,82,
39,,0.000405826,0.001,47,,0.00000137,0.00003,0.304772411,0.434510306,1,2,1.58,76,72.4
80,,0.029261311,0.03,,,,,0.008872296,,,1,,60368,
32,2,0.000692486,0.001,21,2,0.070889711,0.071,0.560499145,0.401939168,1,1,1,31,19
96,,0.028172412,0.05,108,,0.841863775,0.84,0.224092029,0.019422053,1,1,1,94,106
12,,,0.05,,,,,,,,,,,
18,,0.002218001,0.002,32,,0.716617946,0.72,0.219359299,0.064661345,1,3,2.33,93,90
,,,,,,,,,,,,,,
